TrackerRow,Skill,Perk,Priority,CurrentTestStatus,Reasons,TestCases,TestScenario,TrackerLink
282,First Aid,Kolto Mist II,Combination regression,Pass,Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A282:O282
285,First Aid,Med Kit III,Combination regression,Pass,Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A285:O285
286,First Aid,Treatment Kit III,Combination regression,Pass,Outgoing damage cap / flat-damage interaction; Periodic damage and mitigation,"C1, C4","C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable. C4: Apply the listed Bleed, Fragmentation or Force damage-over-time effect with damage bonuses, reduction, Guard and relevant resistance. Tick damage uses the common incoming budget and source attribution. Repeat spread/refresh where available; ticks and triggered damage must not recursively trigger auto-attack procs.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A286:O286
287,First Aid,Emergency Triage,Combination regression,Pass,Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A287:O287
288,First Aid,Infusion II,Combination regression,Pass,Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A288:O288
289,First Aid,Med Kit IV,Combination regression,Pass,Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A289:O289
291,First Aid,Shielding I,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A291:O291
292,First Aid,Coagulant I,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A292:O292
294,First Aid,Pain Suppressant I,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A294:O294
297,First Aid,Shielding II,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A297:O297
300,First Aid,Pain Suppressant II,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A300:O300
302,First Aid,Coagulant II,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A302:O302
303,First Aid,Shielding III,Combination regression,Pass,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A303:O303
306,First Aid,Emergency Cocktail,Combination regression,Pass,Incoming reduction / Guard / conversion interaction; Healing riders / damage-derived healing budget,"C2, C5","C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider. C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A306:O306
310,Force,Force Push I,Combination regression,Pass,Hard-control duration / conversion / shared immunity,C3,"C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A310:O310
311,Force,Force Choke I,Combination regression,Retest,Hard-control duration / conversion / shared immunity; Periodic damage and mitigation,"C3, C4","C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it. C4: Apply the listed Bleed, Fragmentation or Force damage-over-time effect with damage bonuses, reduction, Guard and relevant resistance. Tick damage uses the common incoming budget and source attribution. Repeat spread/refresh where available; ticks and triggered damage must not recursively trigger auto-attack procs.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A311:O311
313,Force,Force Lightning I,Combination regression,Pass,Outgoing damage cap / flat-damage interaction,C1,"C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A313:O313
314,Force,Force Drain I,Combination regression,Pass,Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A314:O314
318,Force,Force Choke II,Combination regression,Retest,Hard-control duration / conversion / shared immunity; Periodic damage and mitigation,"C3, C4","C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it. C4: Apply the listed Bleed, Fragmentation or Force damage-over-time effect with damage bonuses, reduction, Guard and relevant resistance. Tick damage uses the common incoming budget and source attribution. Repeat spread/refresh where available; ticks and triggered damage must not recursively trigger auto-attack procs.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A318:O318
319,Force,Force Lightning II,Combination regression,Pass,Outgoing damage cap / flat-damage interaction,C1,"C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A319:O319
320,Force,Force Drain II,Combination regression,Pass,Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A320:O320
321,Force,Force Push II,Combination regression,Pass,Hard-control duration / conversion / shared immunity,C3,"C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A321:O321
322,Force,Devouring Strike,Combination regression,Pass,Outgoing damage cap / flat-damage interaction,C1,"C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A322:O322
324,Force,Force Choke III,Combination regression,Retest,Hard-control duration / conversion / shared immunity; Periodic damage and mitigation,"C3, C4","C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it. C4: Apply the listed Bleed, Fragmentation or Force damage-over-time effect with damage bonuses, reduction, Guard and relevant resistance. Tick damage uses the common incoming budget and source attribution. Repeat spread/refresh where available; ticks and triggered damage must not recursively trigger auto-attack procs.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A324:O324
329,Force,Force Drain III,Combination regression,Pass,Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A329:O329
331,Force,Force Lightning III,Combination regression,Pass,Outgoing damage cap / flat-damage interaction,C1,"C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A331:O331
333,Force,Force Push III,Combination regression,Pass,Hard-control duration / conversion / shared immunity,C3,"C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A333:O333
334,Force,Force Choke IV,Combination regression,Retest,Hard-control duration / conversion / shared immunity; Periodic damage and mitigation,"C3, C4","C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it. C4: Apply the listed Bleed, Fragmentation or Force damage-over-time effect with damage bonuses, reduction, Guard and relevant resistance. Tick damage uses the common incoming budget and source attribution. Repeat spread/refresh where available; ticks and triggered damage must not recursively trigger auto-attack procs.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A334:O334
336,Force,Benevolence I,Combination regression,Pass,Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A336:O336
339,Force,Renewal I,Combination regression,Pass,Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A339:O339
341,Force,Serene Focus,Combination regression,Not Tested,Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A341:O341
342,Force,Fury Stance I,Combination regression,Pass,Outgoing damage cap / flat-damage interaction; Incoming reduction / Guard / conversion interaction,"C1, C2","C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable. C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A342:O342
344,Force,Benevolence II,Combination regression,Pass,Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A344:O344
345,Force,Renewal II,Combination regression,Pass,Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A345:O345
347,Force,Force Mend,Combination regression,Pass,Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A347:O347
350,Force,Force Sanctuary,Combination regression,Pass,Incoming reduction / Guard / conversion interaction; Healing riders / damage-derived healing budget,"C2, C5","C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider. C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A350:O350
352,Force,Benevolence III,Combination regression,Pass,Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A352:O352
353,Force,Renewal III,Combination regression,Pass,Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A353:O353
354,Force,Fury Stance II,Combination regression,Pass,Outgoing damage cap / flat-damage interaction; Incoming reduction / Guard / conversion interaction,"C1, C2","C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable. C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A354:O354
356,Force,Harmonic Restoration,Combination regression,Not Tested,Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A356:O356
358,Force,Hunger of the Dark,Combination regression,Not Tested,Healing riders / damage-derived healing budget,C5,"C5: Receive this heal with Defensive Harmony and Soul Amplification at full HP, with one HP missing, while injured and when damage-derived healing is already capped. Only actual positive HP restoration may grant Stamina/Attack. Combine Blood Weapon, Life Siphon, Soul Ascension, Vampiric Fury and Hunger of the Dark in legal builds: aggregate damage-derived healing stays within 50% of the originating damage. Include periodic and companion healing where applicable.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A358:O358
359,Force,Weaken Resolve I,Combination regression,Not Tested,Incoming reduction / Guard / conversion interaction,C2,"C2: Combine target-status reduction with generic reduction, Guard, Leadership and resistance. The first two have an 85% combined reduction cap. Guard (up to 55%), resistance and Leadership retain their separate effects. Check tiny hits and physical-to-Force splitting: mitigation must never raise a small hit or double-apply outgoing bonuses. Test strongest ordinary Leadership source plus the Bolster Resolve recovery rider.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A359:O359
